id,name,region,winner2019,age_under_25,age_25_34,age_35_49,age_50_64,age_over_65,immigrant,white,religion_christian,religion_islam,religion_hindu,religion_other,base_con,base_lab,base_ld,base_ref,base_grn,base_snp,base_pc,base_min
E14001063,Aldershot,SE,Con,12.3%,19.4%,25.5%,23.1%,19.8%,22.2%,79.4%,43.2%,2.2%,5.2%,5.6%,0.796,0.903,-0.146,0.077,-1.285,,,-2.499
E14001064,Aldridge-Brownhills,WM,Con,10.9%,14.0%,21.6%,25.8%,27.7%,6.3%,85.4%,53.6%,2.2%,1.3%,5.9%,0.955,0.941,-1.255,0.236,-1.300,,,
E14001065,Altrincham and Sale West,NW,Con,10.4%,12.7%,27.9%,24.8%,24.2%,14.6%,80.6%,50.5%,6.4%,3.0%,3.4%,0.688,1.242,-0.599,-0.508,-1.175,,,-2.546
E14001066,Amber Valley,EM,Con,10.5%,15.0%,21.5%,26.5%,26.5%,3.6%,97.6%,43.9%,0.2%,0.1%,0.9%,0.732,1.108,-1.446,0.299,-1.210,,,
E14001067,Arundel and South Downs,SE,Con,8.9%,9.7%,19.1%,27.9%,34.3%,8.1%,96.8%,54.2%,0.3%,0.2%,1.1%,0.862,0.554,0.158,-0.001,-0.444,,,-2.721
E14001068,Ashfield,EM,Con,11.3%,15.7%,22.5%,25.9%,24.6%,6.0%,95.7%,42.1%,0.6%,0.3%,0.8%,-0.161,0.641,-1.590,1.092,-1.291,,,-0.272
E14001069,Ashford,SE,Con,12.1%,17.4%,24.9%,24.3%,21.4%,15.2%,86.1%,45.5%,1.9%,2.5%,2.8%,0.726,0.951,-0.605,0.188,-0.707,,,-2.456
E14001070,Ashton-under-Lyne,NW,Lab,12.3%,17.8%,24.4%,24.9%,20.5%,14.6%,79.4%,46.7%,10.6%,2.4%,0.7%,0.132,1.337,-1.652,0.246,-0.890,,,-1.834
E14001071,Aylesbury,SE,Con,11.6%,17.4%,27.0%,24.4%,19.6%,18.2%,78.4%,45.7%,8.7%,2.6%,1.5%,0.716,0.827,0.285,-0.105,-1.085,,,-2.480
E14001072,Banbury,SE,Con,11.1%,16.1%,24.2%,24.8%,23.8%,16.0%,89.7%,50.7%,3.7%,0.4%,1.5%,0.677,0.916,0.066,-0.029,-0.890,,,-2.628
E14001073,Barking,L,Lab,15.8%,21.2%,32.2%,20.4%,10.3%,43.3%,42.2%,43.7%,27.6%,2.8%,2.7%,0.029,1.345,-1.468,0.033,-0.704,,,-1.027
